path,label
train/anger/image0021840.jpg,7
train/anger/image0021846.jpg,6
train/anger/image0021851.jpg,3
train/anger/image0021865.jpg,6
train/anger/image0021869.jpg,6
train/anger/image0021881.jpg,6
train/anger/image0021888.jpg,6
train/anger/image0021889.jpg,6
train/anger/image0021893.jpg,6
train/anger/image0021894.jpg,6
train/anger/image0021900.jpg,6
train/anger/image0021907.jpg,6
train/anger/image0021923.jpg,6
train/anger/image0021925.jpg,7
train/anger/image0021941.jpg,3
train/anger/image0021945.jpg,6
train/anger/image0021948.jpg,6
train/anger/image0021951.jpg,0
train/anger/image0021955.jpg,6
train/anger/image0021959.jpg,2
train/anger/image0021963.jpg,6
train/anger/image0021964.jpg,6
train/anger/image0021977.jpg,6
train/anger/image0021982.jpg,6
train/anger/image0021983.jpg,6
train/anger/image0021987.jpg,2
train/anger/image0022009.jpg,6
train/anger/image0022012.jpg,7
train/anger/image0022017.jpg,6
train/anger/image0022023.jpg,6
train/anger/image0022026.jpg,0
train/anger/image0022042.jpg,6
train/anger/image0022045.jpg,6
train/anger/image0022051.jpg,6
train/anger/image0022071.jpg,5
train/anger/image0022085.jpg,0
train/anger/image0022092.jpg,6
train/anger/image0022096.jpg,6
train/anger/image0022103.jpg,7
train/anger/image0022105.jpg,3
train/anger/image0022116.jpg,5
train/anger/image0022125.jpg,6
train/anger/image0022134.jpg,1
train/anger/image0022138.jpg,6
train/anger/image0022139.jpg,5
train/anger/image0022154.jpg,6
train/anger/image0022156.jpg,5
train/anger/image0022165.jpg,6
train/anger/image0022178.jpg,6
train/anger/image0022189.jpg,0
train/anger/image0022190.jpg,6
train/anger/image0022204.jpg,6
train/anger/image0022209.jpg,0
train/anger/image0022216.jpg,6
train/anger/image0022223.jpg,6
train/anger/image0022225.jpg,3
train/anger/image0022250.jpg,5
train/anger/image0022253.jpg,6
train/anger/image0022258.jpg,6
train/anger/image0022267.jpg,6
train/anger/image0022273.jpg,6
train/anger/image0022277.jpg,2
train/anger/image0022279.jpg,0
train/anger/image0022281.jpg,2
train/anger/image0022286.jpg,0
train/anger/image0022289.jpg,5
train/anger/image0022294.jpg,6
train/anger/image0022307.jpg,5
train/anger/image0022313.jpg,6
train/anger/image0022323.jpg,6
train/anger/image0022327.jpg,6
train/anger/image0022332.jpg,6
train/anger/image0022335.jpg,3
train/anger/image0022377.jpg,0
train/anger/image0022381.jpg,6
train/anger/image0022383.jpg,7
train/anger/image0022392.jpg,6
train/anger/image0022393.jpg,6
train/anger/image0022399.jpg,3
train/anger/image0022401.jpg,6
train/anger/image0022418.jpg,4
train/anger/image0022433.jpg,6
train/anger/image0022439.jpg,6
train/anger/image0022441.jpg,6
train/anger/image0022443.jpg,6
train/anger/image0022455.jpg,6
train/anger/image0022456.jpg,6
train/anger/image0022460.jpg,6
train/anger/image0022477.jpg,0
train/anger/image0022486.jpg,6
train/anger/image0022500.jpg,5
train/anger/image0022507.jpg,6
train/anger/image0022523.jpg,6
train/anger/image0022532.jpg,6
train/anger/image0022534.jpg,6
train/anger/image0022537.jpg,0
train/anger/image0022552.jpg,6
train/anger/image0022557.jpg,6
train/anger/image0022562.jpg,6
train/anger/image0022563.jpg,0
train/anger/image0022573.jpg,3
train/anger/image0022595.jpg,5
train/anger/image0022600.jpg,0
train/anger/image0022605.jpg,6
train/anger/image0022607.jpg,6
train/anger/image0022616.jpg,6
train/anger/image0022621.jpg,6
train/anger/image0022626.jpg,3
train/anger/image0022631.jpg,6
train/anger/image0022635.jpg,6
train/anger/image0022637.jpg,6
train/anger/image0022650.jpg,6
train/anger/image0022656.jpg,6
train/anger/image0022665.jpg,6
train/anger/image0022667.jpg,6
train/anger/image0022676.jpg,6
train/anger/image0022679.jpg,4
train/anger/image0022681.jpg,6
train/anger/image0022688.jpg,5
train/anger/image0022691.jpg,6
train/anger/image0022694.jpg,6
train/anger/image0022695.jpg,3
train/anger/image0022696.jpg,6
train/anger/image0022709.jpg,6
train/anger/image0022713.jpg,6
train/anger/image0022725.jpg,4
train/anger/image0022728.jpg,3
train/anger/image0022730.jpg,7
train/anger/image0022753.jpg,3
train/anger/image0022756.jpg,6
train/anger/image0022769.jpg,6
train/anger/image0022777.jpg,6
train/anger/image0022781.jpg,6
train/anger/image0022783.jpg,6
